"","Kappa / W K-1 m-1"
"T / K","xx","yy","zz","yz","xz","xy"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10.0","147.4756709195652","147.4756709195652","147.47567091956523","6.3574540144658009e-17","0.0","2.4754453544829964e-16"
"20.0","28.287841529717141","28.287841529717152","28.287841529717141","8.5438070526049957e-18","0.0","2.028746086992774e-17"
"30.0","18.60198596392372","18.60198596392372","18.60198596392372","3.4345196065675843e-18","0.0","7.7689756261589574e-18"
"40.0","14.809811466941653","14.809811466941657","14.809811466941655","2.243038592922932e-18","0.0","4.791225256032786e-18"
"50.0","12.40864962901821","12.408649629018214","12.40864962901821","1.7904311549085227e-18","0.0","3.6271709147353225e-18"
"60.0","10.669406038378922","10.669406038378924","10.669406038378922","1.5327082752322807e-18","0.0","2.9930756872011744e-18"
"70.0","9.3417180003033913","9.3417180003033895","9.3417180003033913","1.3505433759882396e-18","0.0","2.5742323280070162e-18"
"80.0","8.2961574687529591","8.2961574687529591","8.2961574687529609","1.2090036171226278e-18","0.0","2.2672863780362757e-18"
"90.0","7.4534277306223506","7.4534277306223506","7.4534277306223506","1.0941109182705257e-18","0.0","2.0288113045356051e-18"
"100.0","6.7611794718454679","6.761179471845467","6.7611794718454679","9.985574871504161e-19","0.0","1.8367030591683613e-18"
"110.0","6.1833545318698491","6.1833545318698482","6.1833545318698491","9.1778340887351015e-19","0.0","1.6780601715791852e-18"
"120.0","5.6943510175991277","5.6943510175991294","5.6943510175991277","8.486436505552573e-19","0.0","1.5446158202813859e-18"
"130.0","5.2755385670026538","5.2755385670026556","5.2755385670026538","7.8884531270394791e-19","0.0","1.4307248084532348e-18"
"140.0","4.9130708827453606","4.9130708827453597","4.9130708827453606","7.3666044769889949e-19","0.0","1.3323555604901461e-18"
"150.0","4.5964644782580697","4.5964644782580688","4.5964644782580697","6.9075758831064196e-19","0.0","1.2465323190913101e-18"
"160.0","4.3176497307954049","4.3176497307954049","4.3176497307954049","6.5009352085531856e-19","0.0","1.1710020429404071e-18"
"170.0","4.0703223857747917","4.0703223857747917","4.0703223857747908","6.1383969311053008e-19","0.0","1.1040236692117702e-18"
"180.0","3.8494911807920733","3.8494911807920724","3.8494911807920733","5.8133030692312402e-19","0.0","1.0442287607701155e-18"
"190.0","3.6511563844659785","3.6511563844659785","3.6511563844659789","5.5202476844866338e-19","0.0","9.9052611040885083e-19"
"200.0","3.4720774911128141","3.4720774911128141","3.4720774911128141","5.2548000544042445e-19","0.0","9.4203459440467066e-19"
