"Fit Parameters",""
"E_0 / eV","-9.22339998012"
"V_0 / A^3 Per F.U.","52.5145748794"
"B_0 / eV A^-3","0.310804357025"
"B_0 / GPa","49.79634555713263"
"B'_0","5.72809386676"

"V / A^3","E_Calc / eV","E_Fit / eV"
"44.76","-8.966647","-8.96403842249"
"45.47","-9.0177418","-9.01750113958"
"46.19","-9.0623128","-9.0636821081"
"46.92","-9.1006662","-9.10307274397"
"47.65","-9.1333705","-9.13572649149"
"48.39","-9.1610749","-9.16263300877"
"49.14","-9.1837372","-9.18416619338"
"49.9","-9.2013019","-9.20067417449"
"50.66","-9.2139916","-9.21235717608"
"51.43","-9.2220547","-9.21975113809"
"52.21","-9.2257263","-9.22312185444"
"53.0","-9.2252351","-9.22271687828"
"53.79","-9.2207934","-9.21883658843"
"54.59","-9.21262","-9.21170256344"
"55.41","-9.2009447","-9.20136112789"
"56.22","-9.1860767","-9.18841926339"
"57.05","-9.1685777","-9.17261144191"
"57.89","-9.1495985","-9.15423437066"
"58.73","-9.1309387","-9.13368757648"
"59.58","-9.1127187","-9.11089237573"
"60.44","-9.0910249","-9.08596666291"
