"Fit Parameters",""
"E_0 / eV","-8.45479063419"
"V_0 / A^3 Per F.U.","66.4549489063"
"B_0 / eV A^-3","0.23425903926"
"B_0 / GPa","37.532434167049175"
"B'_0","5.17441644173"

"V / A^3","E_Calc / eV","E_Fit / eV"
"57.83","-8.2786259","-8.27834739325"
"58.75","-8.3187466","-8.31880045157"
"59.68","-8.35298","-8.35319954426"
"60.62","-8.3816843","-8.38194724704"
"61.56","-8.4051425","-8.40519650506"
"62.52","-8.4237506","-8.4237831192"
"63.49","-8.4377663","-8.43775073361"
"64.46","-8.4474675","-8.44731811111"
"65.45","-8.4531142","-8.45295366374"
"66.45","-8.4549556","-8.45479059102"
"67.45","-8.4532251","-8.45309786655"
"68.47","-8.4481452","-8.44805744855"
"69.5","-8.4399184","-8.43987120691"
"70.53","-8.428739","-8.42884667317"
"71.58","-8.4147993","-8.41494183018"
"72.64","-8.3982495","-8.39841147498"
"73.71","-8.3792661","-8.37940515159"
"74.79","-8.3579907","-8.35806157622"
"75.88","-8.3345581","-8.3345094517"
"76.97","-8.309087","-8.30910930774"
"78.08","-8.2816924","-8.28150495256"
