"Fit Parameters",""
"E_0 / eV","-7.6020362671"
"V_0 / A^3 Per F.U.","70.3193899244"
"B_0 / eV A^-3","0.25243557616"
"B_0 / GPa","40.44463630336468"
"B'_0","4.34790447001"

"V / A^3","E_Calc / eV","E_Fit / eV"
"57.83","-7.2001793","-7.19979611748"
"58.75","-7.2671284","-7.2671728263"
"59.68","-7.3269113","-7.32720267898"
"60.62","-7.3798803","-7.38028865548"
"61.56","-7.4263304","-7.42635445467"
"62.52","-7.4666683","-7.46673085928"
"63.49","-7.5011642","-7.50122428019"
"64.46","-7.5301074","-7.52988068309"
"65.45","-7.5537775","-7.55358104478"
"66.45","-7.5724399","-7.57227594259"
"67.45","-7.5863452","-7.5861089426"
"68.47","-7.5957413","-7.59559688627"
"69.5","-7.6008601","-7.60080565356"
"70.53","-7.601921","-7.60195707355"
"71.58","-7.5991354","-7.59927251672"
"72.64","-7.5927028","-7.59291044215"
"73.71","-7.5828205","-7.58304835981"
"74.79","-7.5696712","-7.56985300954"
"75.88","-7.5534305","-7.55348103933"
"76.97","-7.5342629","-7.53426839209"
"78.08","-7.5123315","-7.51199954155"
