"Fit Parameters",""
"E_0 / eV","-5.71494577459"
"V_0 / A^3 Per F.U.","56.8442709074"
"B_0 / eV A^-3","0.300633841063"
"B_0 / GPa","48.16684932939041"
"B'_0","4.52204249617"

"V / A^3","E_Calc / eV","E_Fit / eV"
"48.71","-5.4808215","-5.48024100448"
"49.49","-5.5287524","-5.52897109567"
"50.27","-5.5704511","-5.57078094407"
"51.06","-5.606292","-5.60665894618"
"51.86","-5.6365655","-5.63690516406"
"52.66","-5.6615419","-5.66152903195"
"53.48","-5.6814503","-5.68141029739"
"54.3","-5.696535","-5.69630738499"
"55.13","-5.7070347","-5.70672112985"
"55.97","-5.7131746","-5.71286586698"
"56.82","-5.7151965","-5.71494421563"
"57.67","-5.7133264","-5.71318986339"
"58.54","-5.7077799","-5.70774000538"
"59.41","-5.69876","-5.69888462996"
"60.3","-5.6864596","-5.68657954183"
"61.19","-5.6710421","-5.67124836374"
"62.09","-5.652691","-5.65290769846"
"62.99","-5.6315606","-5.63193420324"
"63.91","-5.6078066","-5.60798275083"
"64.84","-5.5815641","-5.58138781087"
"65.77","-5.5529641","-5.55257995103"
