"Fit Parameters",""
"E_0 / eV","-7.27849735193"
"V_0 / A^3 Per F.U.","38.6327099133"
"B_0 / eV A^-3","0.469271945623"
"B_0 / GPa","75.18565115427653"
"B'_0","4.7492947673"

"V / A^3","E_Calc / eV","E_Fit / eV"
"33.93","-7.1051219","-7.10493504501"
"34.46","-7.1464073","-7.14607840064"
"35.01","-7.1814862","-7.18181637472"
"35.56","-7.2106795","-7.211076976"
"36.11","-7.2342813","-7.2344155884"
"36.68","-7.2526023","-7.25288779532"
"37.24","-7.2658916","-7.26585062813"
"37.82","-7.2744008","-7.27431815597"
"38.39","-7.278376","-7.27813521949"
"38.98","-7.2780693","-7.27777725506"
"39.57","-7.273683","-7.2733999977"
"40.17","-7.265461","-7.26516943904"
"40.77","-7.2535837","-7.25344221609"
"41.38","-7.2382523","-7.23822943754"
"41.99","-7.219694","-7.21996944959"
"42.61","-7.1980951","-7.19854086866"
"43.24","-7.1739064","-7.17404316339"
"43.87","-7.146766","-7.14702120597"
"44.51","-7.1170228","-7.11719296893"
"45.16","-7.084835","-7.08464206441"
"45.81","-7.0503248","-7.04999804992"
