"v / cm^-1","v / THz","I_IR,Norm / AU"
"-49.0","-1.46898302305","3.89392270919e-05"
"-48.0","-1.43900377768","3.94433625647e-05"
"-47.0","-1.40902453232","3.99579606839e-05"
"-46.0","-1.37904528695","4.04833350298e-05"
"-45.0","-1.34906604158","4.10198122452e-05"
"-44.0","-1.31908679621","4.15677327836e-05"
"-43.0","-1.28910755084","4.21274517165e-05"
"-42.0","-1.25912830547","4.26993396066e-05"
"-41.0","-1.22914906011","4.32837834535e-05"
"-40.0","-1.19916981474","4.38811877201e-05"
"-39.0","-1.16919056937","4.44919754503e-05"
"-38.0","-1.139211324","4.51165894892e-05"
"-37.0","-1.10923207863","4.57554938185e-05"
"-36.0","-1.07925283326","4.64091750228e-05"
"-35.0","-1.0492735879","4.7078143907e-05"
"-34.0","-1.01929434253","4.77629372844e-05"
"-33.0","-0.989315097158","4.84641199644e-05"
"-32.0","-0.95933585179","4.91822869717e-05"
"-31.0","-0.929356606421","4.99180660371e-05"
"-30.0","-0.899377361053","5.06721204082e-05"
"-29.0","-0.869398115685","5.14451520434e-05"
"-28.0","-0.839418870316","5.2237905266e-05"
"-27.0","-0.809439624948","5.30511709777e-05"
"-26.0","-0.779460379579","5.38857915601e-05"
"-25.0","-0.749481134211","5.47426666319e-05"
"-24.0","-0.719501888842","5.56227598838e-05"
"-23.0","-0.689522643474","5.65271072878e-05"
"-22.0","-0.659543398105","5.7456827088e-05"
"-21.0","-0.629564152737","5.84131321312e-05"
"-20.0","-0.599584907369","5.93973453235e-05"
"-19.0","-0.569605662","6.04109193356e-05"
"-18.0","-0.539626416632","6.14554621859e-05"
"-17.0","-0.509647171263","6.25327711184e-05"
"-16.0","-0.479667925895","6.36448784289e-05"
"-15.0","-0.449688680526","6.4794114892e-05"
"-14.0","-0.419709435158","6.59831997479e-05"
"-13.0","-0.38973018979","6.72153718351e-05"
"-12.0","-0.359750944421","6.84945863275e-05"
"-11.0","-0.329771699053","6.98258194698e-05"
"-10.0","-0.299792453684","7.12155575722e-05"
"-9.0","-0.269813208316","7.26726133691e-05"
"-8.0","-0.239833962947","7.42095516596e-05"
"-7.0","-0.209854717579","7.58453119127e-05"
"-6.0","-0.179875472211","7.76103374915e-05"
"-5.0","-0.149896226842","7.95573730667e-05"
"-4.0","-0.119916981474","8.17863439774e-05"
"-3.0","-0.0899377361053","8.45085843758e-05"
"-2.0","-0.0599584907369","8.82386441147e-05"
"-1.0","-0.0299792453684","9.44818507714e-05"
"0.0","0.0","0.000108590314504"
"1.0","0.0299792453684","0.000142064345575"
"2.0","0.0599584907369","0.000143939754245"
"3.0","0.0899377361053","0.000113930895211"
"4.0","0.119916981474","0.000104579838134"
"5.0","0.149896226842","0.000102717124228"
"6.0","0.179875472211","0.000103304936939"
"7.0","0.209854717579","0.000104935931725"
"8.0","0.239833962947","0.000107135688288"
"9.0","0.269813208316","0.000109720228606"
"10.0","0.299792453684","0.000112614998495"
"11.0","0.329771699053","0.000115794136033"
