"Mode #","v / cm^-1","v / THz","IR Activity / e^2 amu^-1","Raman Activity / A^4 amu^-1"
"1","3210.719437","96.25494581101505","0.4856105419754306","1361.0057491"
"2","3114.430329","93.36827101597564","1.5237045178260684","519.9797934"
"3","3108.760063","93.19828072025739","0.54951133126244","2428.0823483"
"4","3088.660166","92.59570097621418","0.0017497942636829","383.2658157"
"5","3080.823298","92.36075758752216","0.054483693922451705","565.5542502"
"6","2985.398036","89.49998024367731","0.003950754031148851","1049.0465681"
"7","1573.602283","47.175408954380885","0.21156964115237242","1.7470813"
"8","1553.600378","46.57576693654983","0.11627478349663156","71.38884"
"9","1478.894808","44.3361503231313","0.19163912283684897","89.2691348"
"10","1433.236625","42.967352451897554","0.011987727827091217","43.1656914"
"11","1424.674481","42.71066583604171","0.027797225985699996","54.3821766"
"12","1383.982521","41.490751582679316","0.01234463397562453","92.6828195"
"13","1241.536647","37.22033177431264","0.001649578352399309","13.1195357"
"14","1219.847411","36.57010484641483","0.019161684306162618","307.3085172"
"15","1015.335754","30.438999700507342","0.007365167772350685","55.0223366"
"16","921.486356","27.625465570185764","0.035161502048866464","4.8870189"
"17","882.570086","26.458785163031635","0.038174133532805965","213.7089061"
"18","331.798704","9.947074760143552","0.0012355225072173002","18.9124336"
"19","149.901542","4.493935108724231","0.07714630445769342","1.5530864"
"20","140.622726","4.215763207131703","0.01724042408702847","8.302162"
"21","134.152653","4.021795301113039","0.06167913225780508","3.7357437"
"22","108.052993","3.2393471899404047","0.040335730459227545","13.4280827"
"23","97.202496","2.914057478007975","0.27361583921530497","0.2302298"
"24","87.473726","2.6223962950449407","0.23493646364819373","8.1125269"
"25","80.080459","2.400751729577614","0.2753271857365242","40.4676147"
"26","79.081693","2.370809478597967","0.04428317547154772","0.9058118"
"27","68.008401","2.0388405406936783","0.0517120158657721","5.162048"
"28","46.756926","1.4017373572275915","0.0046510016948825","100.2830509"
"29","45.478428","1.3634089519825427","0.0018248126743814707","5.1034506"
"30","44.577971","1.336413930635821","0.009190430969212338","77.926012"
"31","40.511259","1.2144969737450764","0.013885351107636132","118.3850827"
"32","35.904523","1.0763905048534899","0.0014676450708402083","107.158726"
"33","24.776416","0.7427782546143306","0.008829646844819504","5.9122562"
"34","0.427964","0.012830037764855392","6.62960832415985e-06","-0.000996"
"35","0.719232","0.02156203260482768","4.708045983230229e-05","-0.0160634"
"36","1.720153","0.05156888885824344","2.602755859934495e-05","-0.0682288"
