"v / cm^-1","v / THz","I_Raman,Norm / AU"
"103.0","3.08786227295","0.000603297490144"
"104.0","3.11784151832","0.000792557903325"
"105.0","3.14782076369","0.000641294649871"
"106.0","3.17780000905","0.000389059441228"
"107.0","3.20777925442","0.000314299838146"
"108.0","3.23775849979","0.000325663111967"
"109.0","3.26773774516","0.000453532907389"
"110.0","3.29771699053","0.000802011040981"
"111.0","3.3276962359","0.000935062972187"
"112.0","3.35767548126","0.00105296435363"
"113.0","3.38765472663","0.000787114289598"
"114.0","3.417633972","0.000408205371794"
"115.0","3.44761321737","0.000250491574474"
"116.0","3.47759246274","0.000189416792849"
"117.0","3.50757170811","0.000161060901422"
"118.0","3.53755095347","0.000146615526962"
"119.0","3.56753019884","0.000139393668853"
"120.0","3.59750944421","0.00013659990254"
"121.0","3.62748868958","0.000136959165593"
"122.0","3.65746793495","0.00013990482375"
"123.0","3.68744718032","0.000145272195332"
"124.0","3.71742642569","0.000153194288568"
"125.0","3.74740567105","0.00016411106018"
"126.0","3.77738491642","0.000178892838308"
"127.0","3.80736416179","0.000199167942953"
"128.0","3.83734340716","0.000228165537995"
"129.0","3.86732265253","0.000273094322343"
"130.0","3.8973018979","0.000348075676924"
"131.0","3.92728114326","0.000490021327361"
"132.0","3.95726038863","0.000862864297984"
"133.0","3.987239634","0.00183183371614"
"134.0","4.01721887937","0.00156534844878"
"135.0","4.04719812474","0.000851781922528"
"136.0","4.07717737011","0.000657395915627"
"137.0","4.10715661548","0.000645117479097"
"138.0","4.13713586084","0.000718281270641"
"139.0","4.16711510621","0.000862729142799"
"140.0","4.19709435158","0.00109968125554"
"141.0","4.22707359695","0.00148865774658"
"142.0","4.25705284232","0.00216869872456"
"143.0","4.28703208769","0.0034972619313"
"144.0","4.31701133305","0.00657450608478"
"145.0","4.34699057842","0.0154626344117"
"146.0","4.37696982379","0.035059923789"
"147.0","4.40694906916","0.0218101563186"
"148.0","4.43692831453","0.00971338749752"
"149.0","4.4669075599","0.00702071552857"
"150.0","4.49688680526","0.00945910552664"
"151.0","4.52686605063","0.0176031590647"
"152.0","4.556845296","0.0107221516907"
"153.0","4.58682454137","0.00476035017373"
"154.0","4.61680378674","0.00309449222297"
"155.0","4.64678303211","0.00262963287613"
"156.0","4.67676227748","0.00153095391805"
"157.0","4.70674152284","0.000981511041599"
"158.0","4.73672076821","0.000712062421309"
"159.0","4.76670001358","0.000551982016956"
"160.0","4.79667925895","0.000445410375146"
"161.0","4.82665850432","0.000369412777826"
"162.0","4.85663774969","0.000312673464222"
"163.0","4.88661699505","0.000268883230598"
"164.0","4.91659624042","0.000234217359133"
"165.0","4.94657548579","0.000206213098112"
"166.0","4.97655473116","0.000183210644581"
"167.0","5.00653397653","0.000164050485681"
"168.0","5.0365132219","0.000147898685758"
"169.0","5.06649246726","0.000134140789117"
"170.0","5.09647171263","0.000122314686508"
"171.0","5.126450958","0.000112066662313"
"172.0","5.15643020337","0.000103121776895"
"173.0","5.18640944874","9.526340896e-05"
"174.0","5.21638869411","8.83188178569e-05"
