"v / cm^-1","v / THz","I_IR,Norm / AU"
"-50.0","-1.49896226842","0.000110993409803"
"-49.0","-1.46898302305","0.000112962843685"
"-48.0","-1.43900377768","0.000114987760519"
"-47.0","-1.40902453232","0.00011707034679"
"-46.0","-1.37904528695","0.000119212902087"
"-45.0","-1.34906604158","0.000121417846497"
"-44.0","-1.31908679621","0.000123687728581"
"-43.0","-1.28910755084","0.000126025234005"
"-42.0","-1.25912830547","0.000128433194883"
"-41.0","-1.22914906011","0.000130914599906"
"-40.0","-1.19916981474","0.00013347260534"
"-39.0","-1.16919056937","0.000136110546969"
"-38.0","-1.139211324","0.000138831953104"
"-37.0","-1.10923207863","0.000141640558757"
"-36.0","-1.07925283326","0.000144540321102"
"-35.0","-1.0492735879","0.000147535436395"
"-34.0","-1.01929434253","0.000150630358481"
"-33.0","-0.989315097158","0.000153829819101"
"-32.0","-0.95933585179","0.000157138850204"
"-31.0","-0.929356606421","0.000160562808503"
"-30.0","-0.899377361053","0.000164107402562"
"-29.0","-0.869398115685","0.000167778722731"
"-28.0","-0.839418870316","0.000171583274311"
"-27.0","-0.809439624948","0.000175528014378"
"-26.0","-0.779460379579","0.000179620392778"
"-25.0","-0.749481134211","0.0001838683979"
"-24.0","-0.719501888842","0.000188280607931"
"-23.0","-0.689522643474","0.000192866248455"
"-22.0","-0.659543398105","0.000197635257423"
"-21.0","-0.629564152737","0.000202598358748"
"-20.0","-0.599584907369","0.000207767146099"
"-19.0","-0.569605662","0.000213154178829"
"-18.0","-0.539626416632","0.000218773092568"
"-17.0","-0.509647171263","0.00022463872775"
"-16.0","-0.479667925895","0.00023076728049"
"-15.0","-0.449688680526","0.000237176481913"
"-14.0","-0.419709435158","0.000243885814689"
"-13.0","-0.38973018979","0.000250916779798"
"-12.0","-0.359750944421","0.000258293233797"
"-11.0","-0.329771699053","0.000266041829699"
"-10.0","-0.299792453684","0.000274192618337"
"-9.0","-0.269813208316","0.000282779913683"
"-8.0","-0.239833962947","0.000291843622163"
"-7.0","-0.209854717579","0.000301431449822"
"-6.0","-0.179875472211","0.000311602911467"
"-5.0","-0.149896226842","0.000322437395839"
"-4.0","-0.119916981474","0.000334052394752"
"-3.0","-0.0899377361053","0.000346650716366"
"-2.0","-0.0599584907369","0.000360664627429"
"-1.0","-0.0299792453684","0.000377290269109"
"0.0","0.0","0.000400663539483"
"1.0","0.0299792453684","0.000436049119152"
"2.0","0.0599584907369","0.000442528431981"
"3.0","0.0899377361053","0.000444903082612"
"4.0","0.119916981474","0.000459087041847"
"5.0","0.149896226842","0.000478062603363"
