"v / cm^-1","v / THz","I_IR,Norm / AU"
"-50.0","-1.49896226842","4.07144854649e-05"
"-49.0","-1.46898302305","4.14439596756e-05"
"-48.0","-1.43900377768","4.21945184379e-05"
"-47.0","-1.40902453232","4.29670277784e-05"
"-46.0","-1.37904528695","4.37624011255e-05"
"-45.0","-1.34906604158","4.45816026267e-05"
"-44.0","-1.31908679621","4.54256507515e-05"
"-43.0","-1.28910755084","4.62956222133e-05"
"-42.0","-1.25912830547","4.7192656241e-05"
"-41.0","-1.22914906011","4.81179592409e-05"
"-40.0","-1.19916981474","4.90728098901e-05"
"-39.0","-1.16919056937","5.00585647103e-05"
"-38.0","-1.139211324","5.10766641765e-05"
"-37.0","-1.10923207863","5.21286394242e-05"
"-36.0","-1.07925283326","5.32161196233e-05"
"-35.0","-1.0492735879","5.43408401024e-05"
"-34.0","-1.01929434253","5.55046513129e-05"
"-33.0","-0.989315097158","5.67095287407e-05"
"-32.0","-0.95933585179","5.79575838854e-05"
"-31.0","-0.929356606421","5.92510764483e-05"
"-30.0","-0.899377361053","6.05924278879e-05"
"-29.0","-0.869398115685","6.19842365338e-05"
"-28.0","-0.839418870316","6.34292944724e-05"
"-27.0","-0.809439624948","6.49306064603e-05"
"-26.0","-0.779460379579","6.64914111598e-05"
"-25.0","-0.749481134211","6.81152050457e-05"
"-24.0","-0.719501888842","6.980576939e-05"
"-23.0","-0.689522643474","7.15672008107e-05"
"-22.0","-0.659543398105","7.34039459566e-05"
"-21.0","-0.629564152737","7.53208410122e-05"
"-20.0","-0.599584907369","7.73231568415e-05"
"-19.0","-0.569605662","7.94166507528e-05"
"-18.0","-0.539626416632","8.16076260739e-05"
"-17.0","-0.509647171263","8.39030009792e-05"
"-16.0","-0.479667925895","8.63103883308e-05"
"-15.0","-0.449688680526","8.8838188697e-05"
"-14.0","-0.419709435158","9.14956992256e-05"
"-13.0","-0.38973018979","9.42932417054e-05"
"-12.0","-0.359750944421","9.72423140082e-05"
"-11.0","-0.329771699053","0.000100355770239"
"-10.0","-0.299792453684","0.000103648036449"
"-9.0","-0.269813208316","0.000107135370932"
"-8.0","-0.239833962947","0.000110836181251"
"-7.0","-0.209854717579","0.000114771415269"
"-6.0","-0.179875472211","0.000118965052595"
"-5.0","-0.149896226842","0.00012344474296"
"-4.0","-0.119916981474","0.000128242692257"
"-3.0","-0.0899377361053","0.000133397083938"
