"v / cm^-1","v / THz","I_Raman,Norm / AU"
"-50.0","-1.49896226842","3.83808804583e-05"
"-49.0","-1.46898302305","3.92771855367e-05"
"-48.0","-1.43900377768","4.02064021982e-05"
"-47.0","-1.40902453232","4.1170190628e-05"
"-46.0","-1.37904528695","4.21703184135e-05"
"-45.0","-1.34906604158","4.32086690793e-05"
"-44.0","-1.31908679621","4.42872514328e-05"
"-43.0","-1.28910755084","4.54082098082e-05"
"-42.0","-1.25912830547","4.65738353117e-05"
"-41.0","-1.22914906011","4.7786578181e-05"
"-40.0","-1.19916981474","4.90490613893e-05"
"-39.0","-1.16919056937","5.03640956403e-05"
"-38.0","-1.139211324","5.17346959218e-05"
"-37.0","-1.10923207863","5.31640998065e-05"
"-36.0","-1.07925283326","5.4655787719e-05"
"-35.0","-1.0492735879","5.62135054153e-05"
"-34.0","-1.01929434253","5.7841288962e-05"
"-33.0","-0.989315097158","5.95434925395e-05"
"-32.0","-0.95933585179","6.13248194512e-05"
"-31.0","-0.929356606421","6.31903567717e-05"
"-30.0","-0.899377361053","6.5145614144e-05"
"-29.0","-0.869398115685","6.71965673155e-05"
"-28.0","-0.839418870316","6.93497071014e-05"
"-27.0","-0.809439624948","7.16120945886e-05"
"-26.0","-0.779460379579","7.39914235317e-05"
"-25.0","-0.749481134211","7.6496091073e-05"
"-24.0","-0.719501888842","7.91352781332e-05"
"-23.0","-0.689522643474","8.19190410872e-05"
"-22.0","-0.659543398105","8.48584166699e-05"
"-21.0","-0.629564152737","8.79655424856e-05"
"-20.0","-0.599584907369","9.12537960277e-05"
"-19.0","-0.569605662","9.47379558255e-05"
"-18.0","-0.539626416632","9.84343892643e-05"
"-17.0","-0.509647171263","0.000102361272891"
"-16.0","-0.479667925895","0.000106538852771"
"-15.0","-0.449688680526","0.00011098975496"
"-14.0","-0.419709435158","0.000115739359862"
"-13.0","-0.38973018979","0.000120816259851"
"-12.0","-0.359750944421","0.000126252828536"
"-11.0","-0.329771699053","0.000132085944907"
"-10.0","-0.299792453684","0.000138357941553"
"-9.0","-0.269813208316","0.000145117893748"
"-8.0","-0.239833962947","0.000152423458588"
"-7.0","-0.209854717579","0.000160343664393"
"-6.0","-0.179875472211","0.000168963474015"
"-5.0","-0.149896226842","0.000178391963638"
"-4.0","-0.119916981474","0.000188778651641"
"-3.0","-0.0899377361053","0.000200350517878"
"-2.0","-0.0599584907369","0.000213509764299"
"-1.0","-0.0299792453684","0.000229144298655"
"0.0","0.0","0.000249764561401"
"1.0","0.0299792453684","0.000281448880934"
"2.0","0.0599584907369","0.00032999723005"
"3.0","0.0899377361053","0.000345499823674"
"4.0","0.119916981474","0.000333312106814"
"5.0","0.149896226842","0.000346019779009"
"6.0","0.179875472211","0.000369473036024"
"7.0","0.209854717579","0.00039923057879"
"8.0","0.239833962947","0.000434677246018"
"9.0","0.269813208316","0.000476400288742"
"10.0","0.299792453684","0.000525661712839"
"11.0","0.329771699053","0.000584411718419"
"12.0","0.359750944421","0.000655580043154"
"13.0","0.38973018979","0.000743741513905"
"14.0","0.419709435158","0.000856603871391"
"15.0","0.449688680526","0.00100873604903"
"16.0","0.479667925895","0.00123262751284"
"17.0","0.509647171263","0.00161904684899"
"18.0","0.539626416632","0.0024849614173"
"19.0","0.569605662","0.0041692795433"
"20.0","0.599584907369","0.00352005867906"
"21.0","0.629564152737","0.00318304831969"
"22.0","0.659543398105","0.00376784404189"
"23.0","0.689522643474","0.0051628083291"
"24.0","0.719501888842","0.00810224123628"
"25.0","0.749481134211","0.015387406655"
"26.0","0.779460379579","0.0367287986805"
"27.0","0.809439624948","0.0506888512326"
"28.0","0.839418870316","0.0261239905103"
"29.0","0.869398115685","0.0213871714297"
"30.0","0.899377361053","0.0335980150358"
"31.0","0.929356606421","0.0462651589975"
"32.0","0.95933585179","0.0474889842765"
"33.0","0.989315097158","0.0907690641598"
"34.0","1.01929434253","0.108001853561"
"35.0","1.0492735879","0.0501019737735"
"36.0","1.07925283326","0.0218006246486"
"37.0","1.10923207863","0.0117949644966"
"38.0","1.139211324","0.00740326775799"
"39.0","1.16919056937","0.00511416252779"
"40.0","1.19916981474","0.00377343296343"
"41.0","1.22914906011","0.00292210077442"
"42.0","1.25912830547","0.00234971920951"
"43.0","1.28910755084","0.00194922377262"
"44.0","1.31908679621","0.00166200060563"
"45.0","1.34906604158","0.00145466917212"
"46.0","1.37904528695","0.00130876770999"
"47.0","1.40902453232","0.00121693350235"
"48.0","1.43900377768","0.00118459972155"
"49.0","1.46898302305","0.00124267752274"
"50.0","1.49896226842","0.00149933988704"
"51.0","1.52894151379","0.00236407025703"
"52.0","1.55892075916","0.00462698043951"
"53.0","1.58890000453","0.00347638132613"
"54.0","1.6188792499","0.00176512104315"
"55.0","1.64885849526","0.00120637161657"
"56.0","1.67883774063","0.00100302959047"
"57.0","1.708816986","0.000928089767459"
"58.0","1.73879623137","0.000917108998293"
"59.0","1.76877547674","0.000950552736318"
"60.0","1.79875472211","0.00102583944322"
"61.0","1.82873396747","0.00115074981235"
"62.0","1.85871321284","0.00134440556047"
"63.0","1.88869245821","0.00164455123828"
"64.0","1.91867170358","0.00212673557113"
"65.0","1.94865094895","0.00295549508423"
"66.0","1.97863019432","0.00454024838324"
"67.0","2.00860943968","0.0080976875018"
"68.0","2.03858868505","0.0177118174344"
"69.0","2.06856793042","0.0429924541641"
"70.0","2.09854717579","0.0354437207842"
"71.0","2.12852642116","0.0150892975536"
"72.0","2.15850566653","0.00942767837373"
"73.0","2.1884849119","0.00999343464323"
"74.0","2.21846415726","0.0183889757214"
"75.0","2.24844340263","0.0345136086673"
"76.0","2.278422648","0.0180419466781"
"77.0","2.30840189337","0.00767903426753"
"78.0","2.33838113874","0.00416127521219"
"79.0","2.36836038411","0.00270212567456"
"80.0","2.39833962947","0.00204847804839"
"81.0","2.42831887484","0.0018983832181"
"82.0","2.45829812021","0.00150702418881"
"83.0","2.48827736558","0.00110119918317"
"84.0","2.51825661095","0.000912047345221"
"85.0","2.54823585632","0.000818474553327"
"86.0","2.57821510169","0.000786752622188"
"87.0","2.60819434705","0.000819069849421"
"88.0","2.63817359242","0.000949908756484"
"89.0","2.66815283779","0.00128812898562"
"90.0","2.69813208316","0.00220050540727"
"91.0","2.72811132853","0.00504645734524"
"92.0","2.7580905739","0.00887757154082"
"93.0","2.78806981926","0.00421833382229"
"94.0","2.81804906463","0.00185247282972"
"95.0","2.84802831","0.00104303494285"
"96.0","2.87800755537","0.000695934139152"
"97.0","2.90798680074","0.000516690457631"
"98.0","2.93796604611","0.000411288974589"
"99.0","2.96794529147","0.000343333048434"
