"Mode #","v / cm^-1","v / THz","IR Activity / e^2 amu^-1","Raman Activity / A^4 amu^-1"
"1","3138.94063","94.10307134370876","7.5475603054054e-07","2903.8168669"
"2","3130.912883","93.86240554664008","6.155361003669256","0.4682583"
"3","3130.490168","93.84973286993414","0.00039569746312782567","982.6625575"
"4","3129.344865","93.81539755027596","1.373949881209716e-05","0.0479076"
"5","3124.559926","93.67194868992198","7.541231150772986","0.1477127"
"6","3122.223341","93.60189963488277","0.98060396899821","1.2143353"
"7","3122.104814","93.59834628486699","1.23182166802e-05","18848.3706286"
"8","3121.712442","93.58658326840329","0.000391206764508944","3011.1846261"
"9","3086.735704","92.53800705771395","0.03273249623771333","3.8525322"
"10","3086.588003","92.53357909319378","6.551302182803025e-05","1607.471129"
"11","3086.522675","92.53162060905237","4.750350547944e-06","7840.117194"
"12","3084.822802","92.4806596992902","1.2135446475995673","0.0308692"
"13","3074.277598","92.16452244111403","0.0009936238955476745","0.3823787"
"14","3074.17879","92.16156025183766","2.151674359203e-08","0.0784074"
"15","3073.275495","92.13448014939259","3.16346383757712e-06","2154.05161"
"16","3073.216889","92.13272318573851","8.824163053674e-08","1878.7276894"
"17","3071.246202","92.07364347662114","6.91765307687237e-05","7182.3690362"
"18","3071.087616","92.06888918801513","2.0619886122922e-07","235.485687"
"19","3070.682809","92.05675337963528","0.0013420607413165","0.0471672"
"20","3070.627587","92.05509786574756","0.07945360060876187","4.8495962"
"21","2972.259396","89.10609373130983","4.7327536265e-07","7351.8534794"
"22","2971.870839","89.0944450856672","1.03774257920564e-06","741.5928556"
"23","2971.531132","89.08426092616082","0.011488663551156249","0.3686792"
"24","2971.447056","89.08174039112723","0.0008957570029751096","0.3930507"
"25","1560.824293","46.79233445685552","0.04563564121054793","0.0348175"
"26","1560.701505","46.78865336527522","1.13221799776527e-06","1042.9182301"
"27","1560.437272","46.780731859333784","1.3231709926116e-07","47.8178154"
"28","1558.888318","46.734295387303376","0.009324840212999575","0.5778664"
"29","1551.976086","46.52707188813185","1.24289485e-12","0.5363565"
"30","1548.129758","46.41176187725238","8.1826961309e-10","15.594282"
"31","1545.50846","46.3331773413266","5.852771184559e-08","120.3852099"
"32","1544.992702","46.31771530569387","0.0047925575225820265","0.5004052"
"33","1431.191501","42.906041177692686","6.72503503077596e-06","1964.9844136"
"34","1428.050696","42.81188221394329","0.24967511273765647","0.447666"
"35","1423.949887","42.68894305472322","0.009816916337770088","0.0411076"
"36","1423.583346","42.67795443214663","4.415059826056e-08","-"
"37","1423.56791","42.677491672515124","0.006352888585072073","554.3988679"
"38","1423.540279","42.676663315986346","0.11585723829986655","29.5368694"
"39","1423.017945","42.66100413683608","2.374142432871129e-05","425.4763042"
"40","1422.425732","42.6432500379987","3.07396935598184e-06","12.5495322"
"41","1422.214891","42.63692918392597","2.08373567036e-06","416.1228291"
"42","1422.200322","42.6364924163002","6.183132357088e-08","20.305086"
"43","1421.662043","42.62035521808253","0.06856179596975896","0.4491683"
"44","1421.631598","42.61944249995728","0.08266232412786285","0.1024154"
"45","1380.358556","41.3821078467377","3.26946977497264e-06","416.3981074"
"46","1380.055769","41.37303052097034","4.85838292498584e-06","153.2314465"
"47","1379.472663","41.35554944312053","0.02270959597320606","0.0316506"
"48","1378.822101","41.33604608529515","0.023452477651143323","0.5639629"
"49","1244.105469","37.29734311935847","5.06991854669876e-06","114.3392167"
"50","1243.729183","37.28606234903577","1.758489483363766e-05","55.7837323"
"51","1243.603436","37.282292548868426","0.010942587117400744","0.0819622"
"52","1243.558739","37.28095256653819","0.10134215364644766","0.0243148"
"53","1237.662083","37.10417526946095","6.174408861445834e-05","126.3959519"
"54","1237.441934","37.097575368572336","1.42872660037007e-06","0.2614464"
"55","1237.392541","37.09609460370586","0.041991386728289816","0.2345653"
"56","1237.376365","37.09560965943278","3.108660456080188e-05","36.8285365"
"57","1008.118849","30.22264233471168","3.7228856435364e-07","151.551202"
"58","1007.634456","30.208120598109932","0.05436638434007055","0.036384"
"59","1006.337688","30.169244472052","1.317936033738404e-05","266.6947845"
"60","1006.158055","30.163859210268733","0.0018382118716708095","0.029232"
"61","904.561041","27.11805739886277","0.5049083283410084","0.3958628"
"62","903.763694","27.09415353750599","0.07326722812873869","0.434643"
"63","902.901956","27.068319282560687","5.4803107000724e-05","864.5782178"
"64","901.733347","27.033285266609926","1.3264953269169e-07","314.0199523"
"65","897.655189","26.911025167276694","4.0718996382537e-07","5.3828963"
"66","894.818807","26.825992575340095","4.460827699837037e-05","63.812665"
"67","893.468508","26.78551163029835","2.608243185039e-07","0.0011994"
"68","893.197728","26.777393850237484","0.6456540332475894","0.5079046"
"69","372.146439","11.156669407769002","6.64135054621e-08","50.858614"
"70","371.153768","11.126909880289876","5.30427023182696e-06","1.3876647"
"71","370.643327","11.11160724430477","0.012201853466547268","0.5956281"
"72","369.74485","11.084671581863876","7.854462490024e-08","0.4414729"
"73","154.809895","4.641083827666107","1.8946648350164e-07","25.0218139"
"74","154.095267","4.619659819506956","0.04453833968647552","0.0048318"
