"v / cm^-1","v / THz","I_Raman,Norm / AU"
"-50.0","-1.49896226842","2.40034583635e-05"
"-49.0","-1.46898302305","2.45149631849e-05"
"-48.0","-1.43900377768","2.50435731398e-05"
"-47.0","-1.40902453232","2.55900674203e-05"
"-46.0","-1.37904528695","2.61552703912e-05"
"-45.0","-1.34906604158","2.67400547828e-05"
"-44.0","-1.31908679621","2.73453451506e-05"
"-43.0","-1.28910755084","2.79721216273e-05"
"-42.0","-1.25912830547","2.86214239963e-05"
"-41.0","-1.22914906011","2.92943561176e-05"
"-40.0","-1.19916981474","2.99920907412e-05"
"-39.0","-1.16919056937","3.07158747477e-05"
"-38.0","-1.139211324","3.14670348589e-05"
"-37.0","-1.10923207863","3.22469838666e-05"
"-36.0","-1.07925283326","3.30572274343e-05"
"-35.0","-1.0492735879","3.389937153e-05"
"-34.0","-1.01929434253","3.4775130558e-05"
"-33.0","-0.989315097158","3.5686336264e-05"
"-32.0","-0.95933585179","3.66349474951e-05"
"-31.0","-0.929356606421","3.76230609063e-05"
"-30.0","-0.899377361053","3.86529227172e-05"
"-29.0","-0.869398115685","3.97269416288e-05"
"-28.0","-0.839418870316","4.08477030256e-05"
"-27.0","-0.809439624948","4.20179845983e-05"
"-26.0","-0.779460379579","4.32407735343e-05"
"-25.0","-0.749481134211","4.45192854317e-05"
"-24.0","-0.719501888842","4.5856985102e-05"
"-23.0","-0.689522643474","4.72576094275e-05"
"-22.0","-0.659543398105","4.87251924297e-05"
"-21.0","-0.629564152737","5.02640926837e-05"
"-20.0","-0.599584907369","5.18790231563e-05"
"-19.0","-0.569605662","5.35750834487e-05"
"-18.0","-0.539626416632","5.5357794245e-05"
"-17.0","-0.509647171263","5.72331334541e-05"
"-16.0","-0.479667925895","5.92075730018e-05"
"-15.0","-0.449688680526","6.12881143033e-05"
"-14.0","-0.419709435158","6.34823188414e-05"
"-13.0","-0.38973018979","6.57983274444e-05"
"-12.0","-0.359750944421","6.82448567358e-05"
"-11.0","-0.329771699053","7.08311517407e-05"
"-10.0","-0.299792453684","7.35668554152e-05"
"-9.0","-0.269813208316","7.64617194464e-05"
"-8.0","-0.239833962947","7.95250042311e-05"
"-7.0","-0.209854717579","8.27642458515e-05"
"-6.0","-0.179875472211","8.61826619047e-05"
"-5.0","-0.149896226842","8.97734130232e-05"
"-4.0","-0.119916981474","9.35058922442e-05"
"-3.0","-0.0899377361053","9.72892029779e-05"
"-2.0","-0.0599584907369","0.000100859318313"
"-1.0","-0.0299792453684","0.000103360360546"
"0.0","0.0","0.000101804538565"
"1.0","0.0299792453684","9.38766249448e-05"
"2.0","0.0599584907369","9.62942473254e-05"
"3.0","0.0899377361053","0.000120910843785"
"4.0","0.119916981474","0.000135367510897"
"5.0","0.149896226842","0.000146027305269"
"6.0","0.179875472211","0.000156076049272"
"7.0","0.209854717579","0.000166477539379"
"8.0","0.239833962947","0.000177648341944"
"9.0","0.269813208316","0.000189859443313"
"10.0","0.299792453684","0.000203353275304"
"11.0","0.329771699053","0.000218390712284"
"12.0","0.359750944421","0.000235280391172"
"13.0","0.38973018979","0.00025440755826"
"14.0","0.419709435158","0.000276272194992"
"15.0","0.449688680526","0.000301547563063"
"16.0","0.479667925895","0.000331178532105"
"17.0","0.509647171263","0.00036655969727"
"18.0","0.539626416632","0.000409884935823"
"19.0","0.569605662","0.00046490031474"
"20.0","0.599584907369","0.000538718905338"
"21.0","0.629564152737","0.000646849949392"
"22.0","0.659543398105","0.000829789227023"
"23.0","0.689522643474","0.00121960669152"
"24.0","0.719501888842","0.0022819698554"
"25.0","0.749481134211","0.0032243710286"
"26.0","0.779460379579","0.00194531319165"
"27.0","0.809439624948","0.00152124639692"
"28.0","0.839418870316","0.00154114927316"
"29.0","0.869398115685","0.00176438757537"
"30.0","0.899377361053","0.00217226581731"
"31.0","0.929356606421","0.00284931998093"
"32.0","0.95933585179","0.00402836445254"
"33.0","0.989315097158","0.00633812665423"
"34.0","1.01929434253","0.011805913745"
"35.0","1.0492735879","0.027824193676"
