"v / cm^-1","v / THz","I_Raman,Norm / AU"
"-50.0","-1.49896226842","1.76620671196e-05"
"-49.0","-1.46898302305","1.80044435744e-05"
"-48.0","-1.43900377768","1.83577981878e-05"
"-47.0","-1.40902453232","1.87226210581e-05"
"-46.0","-1.37904528695","1.90994305477e-05"
"-45.0","-1.34906604158","1.94887752957e-05"
"-44.0","-1.31908679621","1.98912364013e-05"
"-43.0","-1.28910755084","2.03074297971e-05"
"-42.0","-1.25912830547","2.07380088288e-05"
"-41.0","-1.22914906011","2.11836670653e-05"
"-40.0","-1.19916981474","2.16451413612e-05"
"-39.0","-1.16919056937","2.21232151995e-05"
"-38.0","-1.139211324","2.26187223446e-05"
"-37.0","-1.10923207863","2.31325508379e-05"
"-36.0","-1.07925283326","2.36656473765e-05"
"-35.0","-1.0492735879","2.42190221158e-05"
"-34.0","-1.01929434253","2.47937539455e-05"
"-33.0","-0.989315097158","2.53909962942e-05"
"-32.0","-0.95933585179","2.6011983524e-05"
"-31.0","-0.929356606421","2.66580379868e-05"
"-30.0","-0.899377361053","2.73305778235e-05"
"-29.0","-0.869398115685","2.80311255969e-05"
"-28.0","-0.839418870316","2.87613178657e-05"
"-27.0","-0.809439624948","2.95229158201e-05"
"-26.0","-0.779460379579","3.03178171183e-05"
"-25.0","-0.749481134211","3.11480690861e-05"
"-24.0","-0.719501888842","3.20158834641e-05"
"-23.0","-0.689522643474","3.29236529205e-05"
"-22.0","-0.659543398105","3.38739695797e-05"
"-21.0","-0.629564152737","3.48696458611e-05"
"-20.0","-0.599584907369","3.59137379715e-05"
"-19.0","-0.569605662","3.70095724556e-05"
"-18.0","-0.539626416632","3.81607762811e-05"
"-17.0","-0.509647171263","3.93713110246e-05"
"-16.0","-0.479667925895","4.0645511828e-05"
"-15.0","-0.449688680526","4.19881319299e-05"
"-14.0","-0.419709435158","4.34043937337e-05"
"-13.0","-0.38973018979","4.49000475751e-05"
"-12.0","-0.359750944421","4.64814395962e-05"
"-11.0","-0.329771699053","4.81555904456e-05"
"-10.0","-0.299792453684","4.99302869104e-05"
"-9.0","-0.269813208316","5.18141890835e-05"
"-8.0","-0.239833962947","5.38169563045e-05"
"-7.0","-0.209854717579","5.59493959346e-05"
"-6.0","-0.179875472211","5.82236400959e-05"
"-5.0","-0.149896226842","6.06533569314e-05"
"-4.0","-0.119916981474","6.32540048306e-05"
"-3.0","-0.0899377361053","6.60431406479e-05"
"-2.0","-0.0599584907369","6.9040796476e-05"
"-1.0","-0.0299792453684","7.22699445063e-05"
"0.0","0.0","7.57570765864e-05"
"1.0","0.0299792453684","7.95329354324e-05"
"2.0","0.0599584907369","8.36334499236e-05"
"3.0","0.0899377361053","8.81009507316e-05"
"4.0","0.119916981474","9.29857804419e-05"
"5.0","0.149896226842","9.83484749472e-05"
"6.0","0.179875472211","0.000104262800951"
"7.0","0.209854717579","0.000110820130472"
"8.0","0.239833962947","0.000118136010129"
"9.0","0.269813208316","0.000126360557678"
