"Mode #","v / cm^-1","v / THz","IR Activity / A^2 e^2","Raman Activity / A^4 amu^-1"
"1","3209.158016","96.20813558773261","0.4996300522819191","3086.6345885"
"2","3106.692728","93.13630357703363","1.7139631746083817","840.2969327"
"3","3098.088182","92.87834578121567","0.60108592692181","6045.8608893"
"4","3084.960636","92.4847918585963","0.0058228799414729","969.7515424"
"5","3077.696361","92.26701437594754","0.100590086574602","842.9140264"
"6","2983.388249","89.43972834606603","0.006278895133832249","1394.3659653"
"7","1564.151827","46.89209141511332","0.2460894564364346","2.5523003"
"8","1548.436218","46.420949316788","0.14174282581124137","272.3354328"
"9","1468.950327","44.0380222871706","0.1987196948553428","251.0371158"
"10","1430.890903","42.89702947649343","0.011159939465770681","77.0001271"
"11","1423.378113","42.67180170168193","0.02557751102757614","74.8139464"
"12","1383.280718","41.46971205834201","0.012555230726601503","280.2236259"
"13","1237.183424","37.08982543385215","0.00107488277468418","21.4932425"
"14","1218.694874","36.53555265689563","0.02126940080871224","856.3824443"
"15","1007.566427","30.20608114002676","0.009019481779712388","90.3319761"
"16","913.125416","27.374810898415028","0.03994453721421388","7.779628"
"17","879.376872","26.363055017011728","0.05011922682554448","675.4865997"
"18","317.651988","9.522966890022039","0.00075631870522737","43.1011124"
"19","133.975073","4.016471586720514","0.08168931020200264","3.012923"
"20","129.67656","3.887605410774121","0.006311654262282101","17.7776603"
"21","117.791865","3.5313112232401513","0.05353548710183397","20.2931489"
"22","91.910016","2.755392921480459","0.021303020776321225","52.1686757"
"23","81.325402","2.4380741812443247","0.23162784335484837","3.2346234"
"24","75.021627","2.2490917637719408","0.2622203718355982","198.0384885"
"25","69.369064","2.079632190634424","0.23382298607799906","285.621441"
"26","67.835956","2.0336707697261187","0.0623239656843172","2.1747307"
"27","52.279541","1.5673011873879714","0.0367465760261409","25.2164034"
"28","33.984776","1.0188379384951798","0.0126328938653956","422.7295536"
"29","33.432998","1.0022960504442775","0.006817361620021601","19.9319154"
"30","33.256777","0.9970130778462072","0.0103757951973341","296.17301"
"31","30.693841","0.9201781906386209","0.01095811116040592","184.1777095"
"32","26.705278","0.800604081794174","0.0016830270365341532","299.5268291"
"33","19.142208","0.5738689505255512","0.00646428491253749","15.4609634"
"34","0.765182","0.022939578929507105","8.355742795827834e-05","0.0138845"
"35","1.628664","0.04882611767873102","8.309858592685e-06","0.0641427"
"36","2.526798","0.07575149723846182","2.778248540373041e-05","0.3812644"
