"v / cm^-1","I_Norm / AU"
"-512.34615","1.31582770383e-06"
"-511.84615","1.31775511239e-06"
"-511.34615","1.31968745618e-06"
"-510.84615","1.32162475276e-06"
"-510.34615","1.32356701978e-06"
"-509.84615","1.32551427497e-06"
"-509.34615","1.32746653612e-06"
"-508.84615","1.32942382112e-06"
"-508.34615","1.33138614794e-06"
"-507.84615","1.33335353462e-06"
"-507.34615","1.33532599929e-06"
"-506.84615","1.33730356016e-06"
"-506.34615","1.33928623552e-06"
"-505.84615","1.34127404376e-06"
"-505.34615","1.34326700332e-06"
"-504.84615","1.34526513276e-06"
"-504.34615","1.3472684507e-06"
"-503.84615","1.34927697585e-06"
"-503.34615","1.35129072702e-06"
"-502.84615","1.35330972308e-06"
"-502.34615","1.35533398302e-06"
"-501.84615","1.35736352589e-06"
"-501.34615","1.35939837083e-06"
"-500.84615","1.36143853707e-06"
"-500.34615","1.36348404395e-06"
"-499.84615","1.36553491086e-06"
"-499.34615","1.36759115732e-06"
"-498.84615","1.3696528029e-06"
"-498.34615","1.37171986729e-06"
"-497.84615","1.37379237026e-06"
"-497.34615","1.37587033167e-06"
"-496.84615","1.37795377148e-06"
"-496.34615","1.38004270973e-06"
"-495.84615","1.38213716656e-06"
"-495.34615","1.3842371622e-06"
"-494.84615","1.38634271698e-06"
"-494.34615","1.38845385131e-06"
"-493.84615","1.39057058573e-06"
"-493.34615","1.39269294083e-06"
"-492.84615","1.39482093732e-06"
"-492.34615","1.39695459601e-06"
"-491.84615","1.3990939378e-06"
"-491.34615","1.40123898368e-06"
"-490.84615","1.40338975476e-06"
"-490.34615","1.40554627222e-06"
"-489.84615","1.40770855737e-06"
"-489.34615","1.40987663159e-06"
"-488.84615","1.41205051639e-06"
"-488.34615","1.41423023335e-06"
"-487.84615","1.41641580418e-06"
"-487.34615","1.41860725067e-06"
"-486.84615","1.42080459473e-06"
"-486.34615","1.42300785837e-06"
"-485.84615","1.42521706369e-06"
"-485.34615","1.4274322329e-06"
"-484.84615","1.42965338834e-06"
"-484.34615","1.43188055241e-06"
"-483.84615","1.43411374765e-06"
"-483.34615","1.43635299671e-06"
"-482.84615","1.43859832232e-06"
"-482.34615","1.44084974734e-06"
"-481.84615","1.44310729473e-06"
"-481.34615","1.44537098757e-06"
"-480.84615","1.44764084903e-06"
"-480.34615","1.44991690242e-06"
"-479.84615","1.45219917112e-06"
"-479.34615","1.45448767866e-06"
"-478.84615","1.45678244867e-06"
"-478.34615","1.45908350488e-06"
"-477.84615","1.46139087116e-06"
"-477.34615","1.46370457147e-06"
"-476.84615","1.4660246299e-06"
"-476.34615","1.46835107064e-06"
"-475.84615","1.47068391802e-06"
"-475.34615","1.47302319648e-06"
"-474.84615","1.47536893055e-06"
"-474.34615","1.47772114492e-06"
"-473.84615","1.48007986437e-06"
"-473.34615","1.48244511382e-06"
"-472.84615","1.48481691829e-06"
"-472.34615","1.48719530294e-06"
"-471.84615","1.48958029304e-06"
"-471.34615","1.49197191399e-06"
"-470.84615","1.49437019131e-06"
"-470.34615","1.49677515064e-06"
"-469.84615","1.49918681776e-06"
"-469.34615","1.50160521856e-06"
"-468.84615","1.50403037906e-06"
"-468.34615","1.5064623254e-06"
"-467.84615","1.50890108388e-06"
"-467.34615","1.51134668089e-06"
"-466.84615","1.51379914297e-06"
"-466.34615","1.51625849678e-06"
"-465.84615","1.51872476912e-06"
"-465.34615","1.52119798693e-06"
"-464.84615","1.52367817724e-06"
"-464.34615","1.52616536728e-06"
"-463.84615","1.52865958435e-06"
"-463.34615","1.53116085593e-06"
"-462.84615","1.53366920961e-06"
"-462.34615","1.53618467312e-06"
"-461.84615","1.53870727435e-06"
"-461.34615","1.5412370413e-06"
"-460.84615","1.54377400211e-06"
"-460.34615","1.54631818509e-06"
"-459.84615","1.54886961866e-06"
"-459.34615","1.55142833139e-06"
"-458.84615","1.55399435199e-06"
"-458.34615","1.55656770933e-06"
"-457.84615","1.5591484324e-06"
"-457.34615","1.56173655035e-06"
"-456.84615","1.56433209248e-06"
"-456.34615","1.56693508821e-06"
"-455.84615","1.56954556715e-06"
"-455.34615","1.57216355901e-06"
"-454.84615","1.57478909369e-06"
"-454.34615","1.57742220122e-06"
"-453.84615","1.58006291179e-06"
"-453.34615","1.58271125573e-06"
"-452.84615","1.58536726353e-06"
"-452.34615","1.58803096585e-06"
"-451.84615","1.59070239347e-06"
"-451.34615","1.59338157735e-06"
"-450.84615","1.59606854861e-06"
"-450.34615","1.59876333851e-06"
"-449.84615","1.60146597849e-06"
"-449.34615","1.60417650013e-06"
"-448.84615","1.60689493518e-06"
"-448.34615","1.60962131555e-06"
"-447.84615","1.61235567332e-06"
"-447.34615","1.61509804072e-06"
"-446.84615","1.61784845015e-06"
