"v / cm^-1","I_Norm / AU"
"-512.34615","1.98482903723e-06"
"-511.84615","1.98787601756e-06"
"-511.34615","1.99093058915e-06"
"-510.84615","1.99399277772e-06"
"-510.34615","1.99706260913e-06"
"-509.84615","2.00014010934e-06"
"-509.34615","2.00322530441e-06"
"-508.84615","2.00631822052e-06"
"-508.34615","2.00941888397e-06"
"-507.84615","2.01252732117e-06"
"-507.34615","2.01564355862e-06"
"-506.84615","2.01876762297e-06"
"-506.34615","2.02189954096e-06"
"-505.84615","2.02503933944e-06"
"-505.34615","2.02818704541e-06"
"-504.84615","2.03134268595e-06"
"-504.34615","2.03450628827e-06"
"-503.84615","2.0376778797e-06"
"-503.34615","2.04085748768e-06"
"-502.84615","2.04404513979e-06"
"-502.34615","2.04724086369e-06"
"-501.84615","2.05044468721e-06"
"-501.34615","2.05365663826e-06"
"-500.84615","2.05687674488e-06"
"-500.34615","2.06010503525e-06"
"-499.84615","2.06334153765e-06"
"-499.34615","2.0665862805e-06"
"-498.84615","2.06983929233e-06"
"-498.34615","2.0731006018e-06"
"-497.84615","2.0763702377e-06"
"-497.34615","2.07964822894e-06"
"-496.84615","2.08293460455e-06"
"-496.34615","2.08622939371e-06"
"-495.84615","2.08953262569e-06"
"-495.34615","2.09284432994e-06"
"-494.84615","2.09616453598e-06"
"-494.34615","2.09949327351e-06"
"-493.84615","2.10283057233e-06"
"-493.34615","2.10617646238e-06"
"-492.84615","2.10953097373e-06"
"-492.34615","2.1128941366e-06"
"-491.84615","2.11626598131e-06"
"-491.34615","2.11964653834e-06"
"-490.84615","2.1230358383e-06"
"-490.34615","2.12643391192e-06"
"-489.84615","2.12984079008e-06"
"-489.34615","2.13325650381e-06"
"-488.84615","2.13668108425e-06"
"-488.34615","2.14011456268e-06"
"-487.84615","2.14355697055e-06"
"-487.34615","2.14700833941e-06"
"-486.84615","2.15046870098e-06"
"-486.34615","2.1539380871e-06"
"-485.84615","2.15741652978e-06"
"-485.34615","2.16090406114e-06"
"-484.84615","2.16440071346e-06"
"-484.34615","2.16790651916e-06"
"-483.84615","2.17142151082e-06"
"-483.34615","2.17494572114e-06"
