"Mode #","v / cm^-1","v / THz","IR Activity / A^2 e^2","Raman Activity / A^4 amu^-1"
"1","3229.815933","96.82744435027631","0.04796735964089","51.4036123"
"2","3227.422461","96.75568986590585","1.221358980972","6837.8689482"
"3","3224.493272","96.66787499014434","0.18585852231821","2233.8059659"
"4","3222.814732","96.6175536276236","0.35118260412725","2466.7362565"
"5","3109.972658","93.23463340329491","1.1420124213570841","237.1161045"
"6","3107.694003","93.16632104593991","2.45167513943076","444.5396137"
"7","3092.951767","92.72435993561658","0.658297148402","3439.2510472"
"8","3091.866763","92.69183233447485","0.72165821033341","1913.6390399"
"9","3086.542456","92.532213628505","1.486572492581","6201.9769452"
"10","3085.198758","92.49193057646193","0.784096399907","1561.7627511"
"11","3083.611755","92.44435342412449","0.100152836382","128.9878062"
"12","3083.376788","92.437309290778","0.22744536459364","123.2218813"
"13","3079.196864","92.3119983235606","0.172015956339","11769.9389814"
"14","3078.320952","92.28573914279146","0.07283117272469","497.3604283"
"15","3077.042172","92.24740228339921","0.11607341271509","263.1950645"
"16","3076.781402","92.23958459558449","0.06271855314756954","135.3939772"
"17","3073.122609","92.12989674248519","0.4584374042397042","2518.4613591"
"18","3072.604561","92.11436605438057","0.56034895972776","2634.4791725"
"19","3070.628919","92.0551377981024","0.469204238488","2953.0223786"
"20","3069.199051","92.01227143448591","0.880914796817","2668.992775"
"21","2979.50567","89.32333155756271","0.00133353295556","4779.8998169"
"22","2978.903657","89.30528366212071","0.0098786325943689","39.6402245"
"23","2978.321265","89.28782398945211","0.00820537518198","1161.5189869"
"24","2978.06341","89.28009369113764","0.0020108509073289","18.8016204"
"25","1562.852885","46.85315011417596","0.01531057798413","39.2575844"
"26","1562.142441","46.83185153917943","0.0060762013035884","4.0086434"
"27","1557.528629","46.693532937147616","0.0011543881745457","1.0123689"
"28","1556.778668","46.67104967231186","0.16635798738809","124.6962973"
"29","1534.22003","45.99475872853224","0.7532637924544084","109.5807231"
"30","1533.754854","45.980813103088735","0.72480096880556","72.8514294"
"31","1532.733246","45.95018606618638","0.06089615071725","19.9031995"
"32","1532.22537","45.93496032696565","0.0194279054538784","51.0051287"
"33","1458.097957","43.71267642411159","0.10321849531204665","99.2734579"
"34","1456.317029","43.65928554661608","0.0971479306141984","1330.4766314"
"35","1452.955683","43.55851493011389","0.11698755348344","66.8703146"
"36","1452.313237","43.539254883843924","0.08018164130729","40.381904"
"37","1429.01926","42.840919031754325","0.013702704775693004","61.9578392"
"38","1428.368581","42.821412166357234","0.0006682235174401","28.5134582"
"39","1427.40159","42.79242250589917","0.0005263484199725","30.1418144"
"40","1426.704847","42.77153467654343","0.05690560386376","41.9780704"
"41","1423.797755","42.68438225216683","0.01971030222149","8.8067382"
"42","1423.714709","42.68189259575596","0.0218141499099041","85.2768367"
"43","1423.370042","42.67155973919256","0.0004378632329885","93.33415"
"44","1423.298092","42.6694027324883","0.00304225859214","10.0610563"
"45","1374.246749","41.198880485040206","0.071010348842","261.3849166"
"46","1373.706619","41.18268779523936","0.02292257344157","451.3232708"
"47","1373.548946","41.17796087768438","0.0578499985665681","30.7343128"
"48","1372.770323","41.15461834771788","0.00220655429629","9.8469787"
"49","1234.517366","37.00989902690368","0.04212495829149","17.7002948"
"50","1234.092172","36.99715203164849","0.03204409975820781","7.6600529"
"51","1233.252008","36.97196454894277","0.01671884726714","95.5608329"
"52","1233.117033","36.967918100299165","0.01038949329195","30.5780543"
