"","Kappa / W K-1 m-1"
"T / K","xx","yy","zz","yz","xz","xy"
"200.0","2.568104694397066","2.567910449107087","2.3366425218971081","-0.00075604315662808894","-0.00047836391357535842","-0.00035055427793437565"
"210.0","2.4542050473441437","2.4540194177754637","2.2275713098252319","-0.00072427298640376236","-0.00045969731300580315","-0.00033500744806149661"
"220.0","2.3499963390473027","2.3498185920911108","2.1282700598404518","-0.00069504722216680239","-0.00044238923164663884","-0.00032078331674270807"
"230.0","2.2542604465118492","2.2540899412140192","2.0374666340230632","-0.00066806032116144786","-0.00042628957818948582","-0.00030771563129060602"
"240.0","2.1659839273195787","2.1658200993958094","1.9541043794571633","-0.0006430575208771828","-0.00041127267065393784","-0.00029566607410819759"
"250.0","2.084314746406331","2.0841570960309665","1.8772974757318146","-0.00061982380997887404","-0.00039723165145195754","-0.000284518356561672"
"260.0","2.0085299591669745","2.0083780412065488","1.8062971467294084","-0.00059817583464190219","-0.0003840745234119391","-0.000274173808289881"
"270.0","1.9380111666464697","1.937864582750358","1.7404657263314074","-0.00057795583950933445","-0.00037172126667485726","-0.00026454802730884245"
"280.0","1.8722255855507639","1.8720839776739273","1.6792564952315581","-0.00055902704704842042","-0.00036010169088482666","-0.00025556829645599784"
"290.0","1.8107112442655673","1.8105742893112957","1.62219782172657","-0.00054127007345314152","-0.0003491537981060758","-0.00024717156296381816"
"300.0","1.7530652591386273","1.7529326644882441","1.5688805559069259","-0.00052458010533047868","-0.00033882250813687564","-0.00023930283843043415"
"310.0","1.6989344441362639","1.6988059438893142","1.5189479135226713","-0.00050886464455206519","-0.0003290586465568337","-0.00023191391724747699"
"320.0","1.6480077119804453","1.6478830637697777","1.4720872865902741","-0.0004940416843791461","-0.00031981812733637054","-0.00022496233952541767"
"330.0","1.600009867761697","1.5998888500380548","1.4280235604958893","-0.00048003821792750733","-0.00031106128250838551","-0.00021841054405985787"
"340.0","1.5546964971605721","1.5545789068640357","1.3865136201786283","-0.00046678900631237944","-0.00030275230517344873","-0.00021222517068588811"
"350.0","1.5118497240424165","1.5117353745946862","1.347341803044142","-0.00045423555228618075","-0.00029485878142800585","-0.00020637648128100656"
"360.0","1.4712746650738733","1.471163384638823","1.3103161117223103","-0.00044232523837117542","-0.00028735129321124595","-0.00020083787589452663"
"370.0","1.4327964480164019","1.4326880779862257","1.275265041217104","-0.00043101059804677677","-0.00028020307854485321","-0.00019558548580525563"
"380.0","1.3962576894750163","1.3961520831472971","1.2420349062754334","-0.0004202486955763872","-0.00027338973882357732","-0.00019059782928375951"
"390.0","1.3615163498744924","1.3614133712913088","1.2104875786388278","-0.00041000059529395545","-0.00026688898511689014","-0.0001858555188371794"
"400.0","1.3284439002207367","1.3283434231466504","1.1804985621721784","-0.00040023090512184852","-0.00026068041713541275","-0.00018134101100551449"
"410.0","1.2969237481464495","1.2968256551655775","1.1519553480782461","-0.00039090738211087253","-0.00025474532978248844","-0.00017703839154425914"
"420.0","1.2668498808080872","1.2667540625236753","1.124756003513238","-0.0003820005901266831","-0.00024906654317343596","-0.00017293319020246099"
